Date ,Stock,Open,High,Low,Last,Volume,
05-08-2020,MB ,0.3750 ,0.3750 ,0.3650 ,0.3650 ,360K ,
05-08-2020,MBC ,19.00 ,19.00 ,15.00 ,17.40 ,12.1K ,
05-08-2020,MBT ,37.20 ,37.20 ,36.55 ,36.75 ,2.72M ,
05-08-2020,MED ,0.33 ,0.33 ,0.33 ,0.33 ,10K ,
05-08-2020,MEG ,2.64 ,2.66 ,2.57 ,2.59 ,16.18M ,
05-08-2020,MER ,254.00 ,256.60 ,252.00 ,252.00 ,243.5K ,
05-08-2020,MHC ,0.4650 ,0.4650 ,0.4550 ,0.4550 ,50K ,
05-08-2020,MJC ,2.06 ,2.06 ,2.06 ,2.06 ,14K ,
05-08-2020,MPI ,2.75 ,2.90 ,2.75 ,2.86 ,81.83M ,
05-08-2020,MRC ,0.1620 ,0.1620 ,0.1570 ,0.16 ,1.09M ,
05-08-2020,MRSGI ,1.80 ,1.84 ,1.75 ,1.80 ,3.48M ,
05-08-2020,MWC ,11.96 ,12.78 ,11.74 ,12.70 ,16.43M ,
05-08-2020,MWIDE ,6.17 ,6.17 ,5.92 ,5.92 ,1.18M ,
05-08-2020,NI ,0.98 ,1.06 ,0.98 ,0.99 ,159K ,
05-08-2020,NIKL ,1.55 ,1.57 ,1.52 ,1.54 ,5.07M ,
05-08-2020,NOW ,1.89 ,1.89 ,1.82 ,1.84 ,1.83M ,
05-08-2020,NRCP ,0.60 ,0.60 ,0.58 ,0.60 ,1.66M ,
05-08-2020,OM ,0.40 ,0.40 ,0.40 ,0.40 ,20K ,
05-08-2020,PAL ,7.20 ,7.20 ,6.95 ,6.95 ,8.8K ,
05-08-2020,PAX ,2.10 ,2.10 ,2.10 ,2.10 ,9K ,
05-08-2020,PCOR ,3.11 ,3.15 ,3.05 ,3.07 ,1.55M ,
05-08-2020,PERC ,2.48 ,2.51 ,2.48 ,2.51 ,54K ,
05-08-2020,PGOLD ,46.45 ,47.90 ,46.05 ,47.80 ,7.34M ,
